Name,License Plate,State,Make,Model,Model Year,VIN,Fuel Type,Tank Capacity,Department,Location,Policy,Cards
#000,ADMIN,FL,,,,,,,Royal Transportation,Miami,Royal Regular Policy,YRX051
#1000,40AAXJ,,,,,1FDZX2CG0FKB08957,,N/A,Royal Transportation,Miami,Royal Regular Policy,YRX069
#1001,QIYQ14,,,,,1FMZK1CM3KKA08196,,N/A,Royal Transportation,Miami,Royal Regular Policy,YRX001
#1002,PKHQ50,,,,,1FBAX2C8XLKA03319,,N/A,Royal Transportation,Miami,Royal Regular Policy,
#102,JIYP20,FL,FORD,TRANSIT,2015,4T1DAACK7SU028712,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#104,IMIC93,FL,Ford,,2014,1FTNS1EW1EDA08580,Unleaded Regular,N/A,Royal Transportation,Miami,Royal Bus/Van Policy,
#105,IMIC90,FL,Ford,E-150,2014,1FTNS1EW5EDA08579,Unleaded Regular,33.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#108,IMIC96,FL,FORD,TRANSIT,,1FBZX2XM6FKB05229,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#109,IZSD06,FL,Ford,,2014,1FTNS1EW8EDA04624,Unleaded Regular,N/A,Royal Transportation,Miami,Royal Bus/Van Policy,
#110,IZSD05,FL,FORD,E350,2014,1FBNE3BL8EDA32263,Unleaded Regular,33.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#111,JIXX85,FL,Ford,Pass VAN,2014,1FBSS3BL8EDA32100,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#112,JJTA19,FL,Ford,Transit,2017,1FTBW3XMXHKA02114,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,YRX063
#114,IZSD44,FL,Ford,Transit Wagon,2015,1FBZX2CM7FKB19534,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,YRX120
#116,KTWV03,FL,FORD,TRANSIT,2018,1FTYR2CM8JKA86697,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#117,KTWV04,FL,Ram,Promaster,,3C7WRVPG1JE137833,Unleaded Regular,24.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#119,KTWV02,FL,FORD,TRANSIT,2015,1FBZX2CM6FKB16558,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#120,IZSD87,FL,Ford,,2016,1FBZX2CM6GKA04974,Unleaded Regular,N/A,Royal Transportation,Miami,Royal Bus/Van Policy,
#121,LXGN45,FL,RAM,PRO,2019,3C6TRVPG4KE506242,Unleaded Super,24.0,Royal Transportation,Miami,Royal Bus/Van Policy,
#122,56FCYK,FL,FORD,T350,,1FBZX2CM9JKB35646,Unleaded Regular,25.0,Royal Transportation,Miami,Royal Bus/Van Policy,YRX129
